kunta,hyvinvointialue,oma_uutisvirta,paikallislehti_syotteet,kunnan_uutisvirrat,hyvinvointialueen_uutisvirta,luokitus
Akaa,Pirkanmaan hyvinvointialue,kyllä,Akaan Seutu (https://akaanseutu.fi/feed/),,Hyvinvointialueen uutiset: Pirkanmaan hyvinvointialue (https://www.pirha.fi/ajankohtaista/pirha-nyt),own-news-flow
Alajärvi,Etelä-Pohjanmaan hyvinvointialue,ei,,,Hyvinvointialueen uutiset: Etelä-Pohjanmaan hyvinvointialue (https://www.hyvaep.fi/ajankohtaista/),wellbeing-area-news-only
Alavieska,Pohjois-Pohjanmaan hyvinvointialue,kyllä,,Alavieska uutiset (https://www.alavieska.fi/rss.xml),Hyvinvointialueen uutiset: Pohjois-Pohjanmaan hyvinvointialue (https://pohde.fi/ajankohtaista/),own-news-flow
Alavus,Etelä-Pohjanmaan hyvinvointialue,ei,,,Hyvinvointialueen uutiset: Etelä-Pohjanmaan hyvinvointialue (https://www.hyvaep.fi/ajankohtaista/),wellbeing-area-news-only
Asikkala,Päijät-Hämeen hyvinvointialue,kyllä,,Asikkala uutiset (https://asikkala.fi/feed/),Hyvinvointialueen uutiset: Päijät-Hämeen hyvinvointialue (https://paijatha.fi/ajankohtaista/),own-news-flow
Askola,Itä-Uudenmaan hyvinvointialue,kyllä,,Askola uutiset (https://askola.fi/feed/),Hyvinvointialueen uutiset: Itä-Uudenmaan hyvinvointialue (https://itauusimaa.fi/ajankohtaista/),own-news-flow
Aura,Varsinais-Suomen hyvinvointialue,kyllä,Auranmaan Viikkolehti (https://www.avl.fi/feed/),,Hyvinvointialueen uutiset: Varsinais-Suomen hyvinvointialue (https://www.varha.fi/fi/ajankohtaista),own-news-flow
Brändö,Ahvenanmaa,kyllä,,Brändö uutiset (https://www.brando.ax/feed/),Hyvinvointialueen uutiset: Ahvenanmaa (https://www.ahs.ax/nyheter),own-news-flow
Eckerö,Ahvenanmaa,ei,,,Hyvinvointialueen uutiset: Ahvenanmaa (https://www.ahs.ax/nyheter),wellbeing-area-news-only
Enonkoski,Etelä-Savon hyvinvointialue,kyllä,Puruvesi (https://www.puruvesi.net/feed/rss/),Enonkoski uutiset (https://enonkoski.fi/feed/),Hyvinvointialueen uutiset: Etelä-Savon hyvinvointialue (https://etelasavonha.fi/eloisa/uutiset/),own-news-flow
Enontekiö,Lapin hyvinvointialue,ei,,,Hyvinvointialueen uutiset: Lapin hyvinvointialue (https://lapha.fi/ajankohtaista),wellbeing-area-news-only
