"Osio","Kategoria","Nimi","NykyinenURL","HttpsURL","HttpsToimii","HTTP","LopullinenURL","Huomio"
"Kuntien kieliversiot","en","ilmajoki (en)","http://ilmajoki.fi/ilmajoki-in-english/","https://ilmajoki.fi/ilmajoki-in-english/","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Jaakkiman Sanomat","http://jaakkimansanomat.fi","https://jaakkimansanomat.fi","False","","","The SSL connection could not be established, see inner exception."
"Palvelukategoriat","Teatterit","JoJo – Oulun Tanssin Keskus","http://jojo.fi/","https://jojo.fi/","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Kokemäkeläinen","http://kokemakelainen.net/","https://kokemakelainen.net/","False","","","The SSL connection could not be established, see inner exception."
"Lehdet","Suomalaiset paikallislehdet","Kotiseutu-uutiset","http://kotiseutu-uutiset.com/","https://kotiseutu-uutiset.com/","True","200",,"HEAD ok"
"Palvelukategoriat","Teatterit","Kuopion kaupunginteatteri","http://kuopionkaupunginteatteri.fi/","https://kuopionkaupunginteatteri.fi/","True","200",,"HEAD ok"
"Palvelukategoriat","Teatterit","Lappeenrannan kaupunginteatteri","http://lprteatteri.fi/fi","https://lprteatteri.fi/fi","True","200",,"HEAD ok"
"Palvelukategoriat","Teatterit","Nukketeatteri Sampo","http://nukketeatterisampo.fi/","https://nukketeatterisampo.fi/","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Nya Östis","http://nyaostis.fi","https://nyaostis.fi","True","200",,"HEAD ok"
"Palvelukategoriat","Teatterit","Ryhmäteatteri","http://ryhmateatteri.fi","https://ryhmateatteri.fi","True","200",,"HEAD ok"
"Palvelukategoriat","Teatterit","Seinäjoen kaupunginteatteri","http://seinajoenkaupunginteatteri.fi/","https://seinajoenkaupunginteatteri.fi/","True","200",,"HEAD ok"
"Palvelukategoriat","Teatterit","Suomen Komediateatteri","http://suomenkomediateatteri.fi","https://suomenkomediateatteri.fi","True","200",,"HEAD ok"
"Palvelukategoriat","Teatterit","Oulun teatteri","http://teatteri.ouka.fi/","https://teatteri.ouka.fi/","True","200",,"HEAD ok"
"Palvelukategoriat","Teatterit","Teatteri Vanha Juko","http://teatterivanhajuko.fi/","https://teatterivanhajuko.fi/","True","200",,"HEAD ok"
"Palvelukategoriat","Teatterit","Åbo Svenska Teater","http://www.abosvenskateater.fi/sv/start/","https://www.abosvenskateater.fi/sv/start/","True","200",,"HEAD ok"
"Palvelukategoriat","Teatterit","Ahaa Teatteri","http://www.ahaateatteri.com","https://www.ahaateatteri.com","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Ähtärinjärven Uutisnuotta","http://www.ahtarinjarvenuutisnuotta.net/","https://www.ahtarinjarvenuutisnuotta.net/","True","200",,"HEAD ok"
"Palvelukategoriat","Teatterit","Aurinkobaletti","http://www.aurinkobaletti.fi/","https://www.aurinkobaletti.fi/","True","200",,"HEAD ok"
"Palvelukategoriat","Teatterit","Cirko – Uuden sirkuksen keskus","http://www.cirko.fi/","https://www.cirko.fi/","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Elimäen Sanomat","http://www.elimaensanomat.fi/index.html","https://www.elimaensanomat.fi/index.html","True","200",,"HEAD ok"
"Palvelukategoriat","Teatterit","Tanssiteatteri ERI","http://www.eri.fi/","https://www.eri.fi/","True","200",,"HEAD ok"
"Palvelukategoriat","Teatterit","Espoon teatteri","http://www.espoonteatteri.fi/","https://www.espoonteatteri.fi/","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Hämeenkyrön Sanomat","http://www.hameenkyronsanomat.fi/","https://www.hameenkyronsanomat.fi/","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Heinäveden lehti","http://www.heinavedenlehti.fi","https://www.heinavedenlehti.fi","True","200",,"HEAD ok"
"Palvelukategoriat","Teatterit","Teatteri Hevosenkenkä","http://www.hevosenkenka.fi","https://www.hevosenkenka.fi","True","200",,"HEAD ok"
"Palvelukategoriat","Teatterit","Hämeenlinnan Teatteri","http://www.hmlteatteri.fi/","https://www.hmlteatteri.fi/","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Ilmajoki-lehti","http://www.ilmajoki-lehti.fi","https://www.ilmajoki-lehti.fi","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Inarilainen","http://www.inarilainen.fi/","https://www.inarilainen.fi/","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Joutsan Seutu","http://www.joutsanseutu.fi/","https://www.joutsanseutu.fi/","True","200",,"GET ok"
"Lehdet","Suomalaiset paikallislehdet","Joutseno (sanomalehti)","http://www.joutsenolehti.fi/","https://www.joutsenolehti.fi/","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","JP-Kunnallissanomat","http://www.jp-kunnallissanomat.fi","https://www.jp-kunnallissanomat.fi","True","200",,"GET ok"
"Palvelukategoriat","Teatterit","Teatteri Jurkka","http://www.jurkka.fi/","https://www.jurkka.fi/","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Kaakonkulma (lehti)","http://www.kaakonkulma.fi/","https://www.kaakonkulma.fi/","True","200",,"HEAD ok"
"Palvelukategoriat","Teatterit","Kajaanin kaupunginteatteri","http://www.kajaaninteatteri.fi/","https://www.kajaaninteatteri.fi/","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Kalajoen Seutu","http://www.kalajoenseutu.net","https://www.kalajoenseutu.net","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Kalajokilaakso (lehti)","http://www.kalajokilaakso.fi/","https://www.kalajokilaakso.fi/","True","200",,"HEAD ok"
"Palvelukategoriat","Teatterit","Suomen Kansallisteatteri","http://www.kansallisteatteri.fi","https://www.kansallisteatteri.fi","True","200",,"HEAD ok"
