"kunta","perusosoite","lopullinen osoite","kieli","kieliversion osoite","lähde","tila"
"akaa","https://akaa.fi/","https://akaa.fi/","en","https://akaa.fi/en/","anchor","200"
"alajärvi","https://alajarvi.fi/","https://alajarvi.fi/","","","","200"
"alavieska","https://www.alavieska.fi/","https://www.alavieska.fi/","en","https://www.alavieska.fi/english","anchor","200"
"alavus","https://www.alavus.fi/","https://www.alavus.fi/","","","","200"
"asikkala","https://asikkala.fi/","https://asikkala.fi/","","","","200"
"askola","https://askola.fi/","https://askola.fi/","","","","200"
"aura","https://aura.fi/","https://www.aura.fi/","","","","200"
"brändö","https://www.brando.ax/","https://www.brando.ax/","en","https://www.brando.ax/english/","anchor","200"
"brändö","https://www.brando.ax/","https://www.brando.ax/","sv","https://www.brando.ax/","aland-default","200"
"eckerö","https://www.eckero.ax/","https://www.eckero.ax/","sv","https://www.eckero.ax/","aland-default","200"
"enonkoski","https://enonkoski.fi/","https://enonkoski.fi/","","","","200"
"enontekiö","https://enontekio.fi/","https://enontekio.fi/fi","en","https://enontekio.fi/en","anchor","200"
"enontekiö","https://enontekio.fi/","https://enontekio.fi/fi","se","https://enontekio.fi/se","anchor","200"
"espoo","https://www.espoo.fi","https://www.espoo.fi/fi","en","https://www.espoo.fi/en","anchor","200"
"espoo","https://www.espoo.fi","https://www.espoo.fi/fi","sv","https://www.espoo.fi/sv","anchor","200"
"eura","https://www.eura.fi/","https://www.eura.fi/","en","https://www.eura.fi/in-english/","anchor","200"
"eurajoki","https://www.eurajoki.fi/","https://www.eurajoki.fi/","","","","403"
"evijärvi","https://evijarvi.fi/","https://evijarvi.fi/","","","","200"
"finström","https://www.finstrom.ax/","https://www.finstrom.ax/","sv","https://www.finstrom.ax/","aland-default","200"
"forssa","https://www.forssa.fi/","https://www.forssa.fi/","en","https://www.forssa.fi/in-english/","anchor","200"
"forssa","https://www.forssa.fi/","https://www.forssa.fi/","sv","https://www.forssa.fi/pa-svenska/","anchor","200"
"föglö","https://www.foglo.ax/","https://www.foglo.ax/","sv","https://www.foglo.ax/","aland-default","200"
"geta","https://www.geta.ax/","https://www.geta.ax/","sv","https://www.geta.ax/","aland-default","200"
"haapajärvi","https://www.haapajarvi.fi/","https://www.haapajarvi.fi/","","","","200"
"haapavesi","https://haapavesi.fi/","https://haapavesi.fi/","","","","TypeError"
"hailuoto","https://hailuoto.fi/","https://hailuoto.fi/","","","","200"
"halsua","https://halsua.fi/","https://halsua.fi/","","","","200"
"hamina","https://www.hamina.fi/","https://www.hamina.fi/","","","","200"
"hammarland","https://www.hammarland.ax/","https://www.hammarland.ax/","sv","https://www.hammarland.ax/","aland-default","200"
"hammarland","https://www.hammarland.ax/","https://www.hammarland.ax/","uk","https://www.hammarland.ax/kommunen/ukraina-information","anchor","200"
"hankasalmi","https://hankasalmi.fi/","https://hankasalmi.fi/","","","","200"
"hanko","https://hanko.fi/","https://hanko.fi/","sv","https://hanko.fi/sv/","anchor-hreflang","200"
"harjavalta","https://www.harjavalta.fi/","https://www.harjavalta.fi/","","","","200"
"hartola","https://hartola.fi/","https://hartola.fi/","","","","200"
"hattula","https://hattula.fi/","https://hattula.fi/","en","https://hattula.fi/briefly-in-english/","anchor","200"
"hausjärvi","https://www.hausjarvi.fi/","https://www.hausjarvi.fi/","","","","500"
"heinola","https://www.heinola.fi/","https://www.heinola.fi/","en","https://www.heinola.fi/in_english/","anchor","200"
"heinävesi","https://www.heinavesi.fi/","https://www.heinavesi.fi/","en","https://www.heinavesi.fi/en/in-english/","anchor","200"
"helsinki","https://hel.fi","https://www.hel.fi/fi","en","https://www.hel.fi/en/frontpage","anchor","200"
"helsinki","https://hel.fi","https://www.hel.fi/fi","et","https://www.hel.fi/et","anchor","200"
"helsinki","https://hel.fi","https://www.hel.fi/fi","ru","https://www.hel.fi/ru","anchor","200"
"helsinki","https://hel.fi","https://www.hel.fi/fi","sv","https://www.hel.fi/sv/huvudsida","anchor","200"
"helsinki","https://hel.fi","https://www.hel.fi/fi","uk","https://www.hel.fi/uk","anchor","200"
"hirvensalmi","https://www.hirvensalmi.fi/","https://www.hirvensalmi.fi/","en","https://www.hirvensalmi.fi/english/","anchor","200"
"hollola","https://hollola.fi/","https://hollola.fi/","en","https://hollola.fi/","anchor","200"
"huittinen","https://www.huittinen.fi/","https://www.huittinen.fi/","","","","200"
"humppila","https://www.humppila.fi/","https://www.humppila.fi/","en","https://www.humppila.fi/english/","anchor","200"
"hyrynsalmi","https://www.hyrynsalmi.fi/","https://hyrynsalmi.fi/","en","https://hyrynsalmi.fi/en/","anchor-hreflang","200"
"hyvinkää","https://www.hyvinkaa.fi/","https://www.hyvinkaa.fi/","en","https://www.hyvinkaa.fi/in-english/","anchor","200"
"hyvinkää","https://www.hyvinkaa.fi/","https://www.hyvinkaa.fi/","sv","https://www.hyvinkaa.fi/pa-svenska/","anchor","200"
"hämeenkyrö","https://hameenkyro.fi/","https://hameenkyro.fi/","","","","200"
"hämeenlinna","https://www.hameenlinna.fi/","https://www.hameenlinna.fi/","en","https://www.hameenlinna.fi/en/","anchor-hreflang","200"
"hämeenlinna","https://www.hameenlinna.fi/","https://www.hameenlinna.fi/","sv","https://www.hameenlinna.fi/sv/","anchor-hreflang","200"
"ii","https://www.ii.fi/","https://www.ii.fi/","","","","200"
"iisalmi","https://www.iisalmi.fi/","https://iisalmi.fi/","","","","200"
"iitti","https://www.iitti.fi/","https://www.iitti.fi/","","","","200"
"ikaalinen","https://ikaalinen.fi/","https://ikaalinen.fi/","","","","200"
"ilmajoki","https://ilmajoki.fi/","https://ilmajoki.fi/","en","http://ilmajoki.fi/ilmajoki-in-english/","anchor","200"
"ilomantsi","https://www.ilomantsi.fi/","https://www.ilomantsi.fi/","","","","200"
"imatra","https://www.imatra.fi/","https://www.imatra.fi/","","","","200"
"inari","https://www.inari.fi/","https://www.inari.fi/","en","https://www.inari.fi/en/home-page.html","anchor","200"
"inari","https://www.inari.fi/","https://www.inari.fi/","ru","https://www.inari.fi/ru/glavnaja-stranica.html","anchor","200"
"inari","https://www.inari.fi/","https://www.inari.fi/","se","https://www.inari.fi/se/se/koltansaameetusivu-2018.html","anchor","200"
"inari","https://www.inari.fi/","https://www.inari.fi/","sv","https://www.inari.fi/sv/forstasida.html","anchor","200"
"inkoo","https://www.inga.fi/","https://www.inga.fi/","sv","https://www.inga.fi/sv/?s=","anchor","200"
"isojoki","https://isojoki.fi/","https://isojoki.fi/","en","https://isojoki.fi/english/","anchor","200"
"isokyrö","https://isokyro.fi/","https://isokyro.fi/","","","","200"
"janakkala","https://www.janakkala.fi/","https://www.janakkala.fi/","en","https://www.janakkala.fi/en/","anchor-hreflang","200"
"joensuu","https://www.joensuu.fi/","https://www.joensuu.fi/","en","https://www.joensuu.fi/en/","anchor","200"
"jokioinen","https://www.jokioinen.fi/","https://www.jokioinen.fi/","en","https://www.jokioinen.fi/in-english/","anchor","200"
"jomala","https://www.jomala.ax/","https://www.jomala.ax/","sv","https://www.jomala.ax/","aland-default","200"
"joroinen","https://www.joroinen.fi/","https://www.joroinen.fi/","","","","200"
"joutsa","https://www.joutsa.fi/","https://www.joutsa.fi/","en","https://www.joutsa.fi/in-english/","anchor","200"
"juuka","https://www.juuka.fi/","https://www.juuka.fi/","en","https://www.juuka.fi/en/web/english","anchor","200"
"juuka","https://www.juuka.fi/","https://www.juuka.fi/","ru","https://www.juuka.fi/ru/web/russian","anchor","200"
"juupajoki","https://juupajoki.fi/","https://juupajoki.fi/","en","https://juupajoki.fi/en/","anchor-hreflang","200"
"juva","https://www.juva.fi/","https://www.juva.fi/","en","https://www.juva.fi/en","anchor","200"
"jyväskylä","https://www.jyvaskyla.fi/","https://www.jyvaskyla.fi/","en","https://www.jyvaskyla.fi/en","anchor-hreflang","200"
"jämijärvi","https://jamijarvi.fi/","https://jamijarvi.fi/","en","https://jamijarvi.fi/en/etusivu-english/","anchor-hreflang","200"
"jämsä","https://www.jamsa.fi/","https://jamsa.fi/","","","","200"
"järvenpää","https://www.jarvenpaa.fi/","https://www.jarvenpaa.fi/","","","","200"
"kaarina","https://kaarina.fi/","https://kaarina.fi/fi","","","","200"
"kaavi","https://kaavi.fi/","https://kaavi.fi/","","","","200"
"kajaani","https://www.kajaani.fi/","https://kajaani.fi/","en","https://kajaani.fi/en/home/","anchor","200"
"kalajoki","https://www.kalajoki.fi/","https://www.kalajoki.fi/fi","en","https://www.kalajoki.fi/en","anchor","200"
"kangasala","https://www.kangasala.fi/","https://www.kangasala.fi/","","","","200"
"kangasniemi","https://www.kangasniemi.fi/","https://www.kangasniemi.fi/","en","https://www.kangasniemi.fi/en/home/","anchor-hreflang","200"
"kangasniemi","https://www.kangasniemi.fi/","https://www.kangasniemi.fi/","ru","https://www.kangasniemi.fi/ru/%d0%b4%d0%be%d0%bc%d0%b0%d1%88%d0%bd%d1%8f%d1%8f-%d1%81%d1%82%d1%80%d0%b0%d0%bd%d0%b8%d1%86%d0%b0/","anchor-hreflang","200"
