"Päivitetty","Kunta","Varmuus","Pisteet","Nimi","URL","Kunnan sivu","HTTP","Osumat"
"12.5.2026 klo 09.11","akaa","korkea","410","Liikuntaryhmät 2026","https://akaa.fi/tee-ja-viihdy/liikunta/erityisryhmien-liikunta/liikuntaryhmat/","https://akaa.fi/","200","liikuntaryhm; ikääntyneiden liikunta; tuolijumppa; vesijumppa; jumppa; erityisliikunta; liikuntaneuvonta; liikuntapalvelut; senior"
"12.5.2026 klo 09.11","alajärvi","keskitaso","80","Liikuntaryhmät ja -välineet","https://alajarvi.fi/kulttuuri-ja-vapaa-aika/liikunta/liikuntaryhmat/","https://alajarvi.fi/","200","liikuntaryhm; liikuntapalvelut"
"12.5.2026 klo 09.11","alavieska","ei löytynyt","20","","","https://www.alavieska.fi/","200",""
"12.5.2026 klo 09.11","alavus","korkea","255","Ik&auml;ihmisten ja aikuisten ohjattu liikunta","https://www.alavus.fi/fi/vapaa-aika/liikunta/ohjattu-liikunta/aikuiset-ja-ikaihmiset.html","https://www.alavus.fi/","200","ohjattu liikunta; liikuntaryhm; tuolijumppa; jumppa; senior"
"12.5.2026 klo 09.11","asikkala","ei löytynyt","0","","","https://asikkala.fi/","200",""
"12.5.2026 klo 09.11","askola","korkea","180","3.9. Liikuntaryhmä senioreille","https://askola.fi/tapahtuma/3-9-liikuntaryhma-senioreille/","https://askola.fi/","200","liikuntaryhm; jumppa; liikuntaneuvonta; senior"
"12.5.2026 klo 09.11","aura","ei löytynyt","20","","","https://aura.fi/","200",""
"12.5.2026 klo 09.11","brändö","ei löytynyt","0","","","https://www.brando.ax/","200",""
"12.5.2026 klo 09.11","eckerö","ei löytynyt","0","","","https://www.eckero.ax/","200",""
"12.5.2026 klo 09.11","enonkoski","korkea","280","Liikuntapalvelut","https://enonkoski.fi/asukkaille/liikuntapalvelut/","https://enonkoski.fi/","200","ohjattu liikunta; liikuntaryhm; senioreiden liikunta; liikuntaneuvonta; liikuntapalvelut; senior"
