"Päivitetty","Kunta","Varmuus","Tyyppi","Pisteet","Nimi","URL","Kunnan sivu","HTTP","Löytötapa","Osumat"
"13.8.2026 klo 14.28","Alajärvi","keskitaso","viitesivu","285","Vanhusneuvosto","https://alajarvi.fi/kaupunki-ja-hallinto/osallistu-ja-vaikuta/vanhusneuvosto/","https://alajarvi.fi/","200","etusivu","vanhus; seniorit"
"13.8.2026 klo 14.28","Alajärvi","keskitaso","viitesivu","210","Hakutulokset: vanhus","https://alajarvi.fi/?s=vanhus","https://alajarvi.fi/","200","sisäinen haku","vanhus"
"13.8.2026 klo 14.28","Alavieska","keskitaso","viitesivu","210","Alavieskan vanhus- ja vammaisneuvosto tukee omaishoitajia","https://www.alavieska.fi/alavieskan-vanhus-ja-vammaisneuvosto-tukee-omaishoitajia","https://www.alavieska.fi/","200","etusivu","vanhus"
"13.8.2026 klo 14.28","Alavus","korkea","palvelusivu","365","Aikuisten ja ikäihmisten ohjattu liikunta","https://www.alavus.fi/fi/vapaa-aika/liikunta/ohjattu-liikunta/aikuiset-ja-ikaihmiset.html","https://www.alavus.fi/","200","etusivu","ikaihmiset; ikäihmisten palvelut; ikäihmiset"
"13.8.2026 klo 14.28","Askola","korkea","palvelusivu","660","Tupatuessa tapahtuu – yhteisöllistä arkea ikäihmisille","https://askola.fi/tupatuessa-tapahtuu-yhteisollista-arkea-ikaihmisille/","https://askola.fi/","200","etusivu","ikäihmisille; ikaihmisille"
"13.8.2026 klo 14.28","Askola","korkea","palvelusivu","390","Perhekoti Laurila tarjoaa turvallista arkea ikäihmisille","https://askola.fi/perhekoti-laurila/","https://askola.fi/","200","etusivu","ikäihmisille"
"13.8.2026 klo 14.28","Askola","keskitaso","viitesivu","210","Vammais- ja vanhusneuvoston uusi toimikausi käynnistyi","https://askola.fi/vammais-ja-vanhusneuvoston-uusi-toimikausi-kaynnistyi/","https://askola.fi/","200","etusivu","vanhus"
"13.8.2026 klo 14.28","Aura","keskitaso","viitesivu","210","Vanhus- ja vammaisneuvosto","https://www.aura.fi/kunta-ja-paatoksenteko/osallistu-ja-vaikuta-2/vaikuttajaryhmat/vanhus-ja-vammaisneuvosto/","https://aura.fi/","200","etusivu","vanhus"
"13.8.2026 klo 14.28","Aura","keskitaso","viitesivu","210","Vanhustentalon kerhohuone","https://www.aura.fi/kunta-ja-paatoksenteko/vuokrattavat-tilat/kokoustilat/vanhustentalon-kerhohuone/","https://aura.fi/","200","etusivu","vanhus"
"13.8.2026 klo 14.28","Enonkoski","keskitaso","viitesivu","210","You searched for vanhus - Enonkoski","https://enonkoski.fi/?s=vanhus","https://enonkoski.fi/","200","sisäinen haku","vanhus"
"13.8.2026 klo 14.28","Enonkoski","keskitaso","viitesivu","210","Tilapäistä asumista tarjolla seniori-ikäisille vanhustentalolla","https://enonkoski.fi/tilapaista-asumista-tarjolla-seniori-ikaisille-vanhustentalolla/","https://enonkoski.fi/","200","sisäinen haku","vanhus"
"13.8.2026 klo 14.28","Evijärvi","korkea","palvelusivu","405","Senioreille","https://evijarvi.fi/vapaa-aika-ja-nuoriso/kirjasto/senioreille","https://evijarvi.fi/","200","etusivu","senioreille; ikäihmisille"
"13.8.2026 klo 14.28","Finström","keskitaso","viitesivu","1110","Ansökan om äldreomsorg","https://www.finstrom.ax/blanketter/ansokan-om-aldreomsorg","https://www.finstrom.ax/","200","syvälinkki","äldreomsorg; aldreomsorg; äldre; aldre; för äldre"
"13.8.2026 klo 14.28","Finström","keskitaso","viitesivu","720","Väntetider för sociala tjänster för äldre","https://www.finstrom.ax/vantetider-sociala-tjanster-aldre","https://www.finstrom.ax/","200","etusivu","för äldre; äldre; aldre; äldreomsorg"
"13.8.2026 klo 14.28","Finström","keskitaso","viitesivu","450","Information om äldreråd","https://www.finstrom.ax/kommunen/information-om-aldrerad","https://www.finstrom.ax/","200","etusivu","äldre; aldre; för äldre"
"13.8.2026 klo 14.28","Finström","keskitaso","viitesivu","450","Hemservice och äldreboende","https://www.finstrom.ax/social-service/hemservice-aldreboende","https://www.finstrom.ax/","200","etusivu","äldre; aldre; äldreomsorg; för äldre; pensionär"
"13.8.2026 klo 14.28","Finström","keskitaso","viitesivu","300","Dagverksamhet","https://www.finstrom.ax/social-service/hemservice-aldreboende/dagverksamhet","https://www.finstrom.ax/","200","etusivu","aldre; för äldre; äldre; pensionärer; pensionär"
"13.8.2026 klo 14.28","Forssa","keskitaso","viitesivu","210","Vanhusneuvosto","https://www.forssa.fi/kaupunki-ja-hallinto/paatoksenteko/vanhusneuvosto/","https://www.forssa.fi/","200","etusivu","vanhus"
"13.8.2026 klo 14.28","Forssa","keskitaso","viitesivu","210","VANHUSNEUVOSTO","https://www.forssa.fi/hyvinvointi-ja-terveys/hyvinvoinnin-terveyden-ja-turvallisuuden-edis/forssan-hyvinvointityon-rakenne/edunvalvontatoimielimet-nuorisovaltuusto-vanh/vanhusneuvosto92487740/","https://www.forssa.fi/","200","etusivu","vanhus"
"13.8.2026 klo 14.28","Forssa","matala","viitesivu","120","edunvalvontatoimielimet","https://www.forssa.fi/hyvinvointi-ja-terveys/hyvinvoinnin-terveyden-ja-turvallisuuden-edis/forssan-hyvinvointityon-rakenne/edunvalvontatoimielimet-nuorisovaltuusto-vanh/","https://www.forssa.fi/","200","etusivu","vanhus"
"13.8.2026 klo 14.28","Haapajärvi","keskitaso","viitesivu","285","Vanhus- ja vammaisneuvosto","https://www.haapajarvi.fi/palvelu/e8680f5e-92b1-4896-832e-cacf762f73eb","https://www.haapajarvi.fi/","200","sisäinen haku","vanhus; vanhuspalvelu; ikäihmisille"
"13.8.2026 klo 14.28","Haapajärvi","keskitaso","viitesivu","265","Vanhus- ja vammaisneuvosto","https://www.haapajarvi.fi/vanhus-ja-vammaisneuvosto","https://www.haapajarvi.fi/","200","sisäinen haku","vanhus; eläkeläiset"
"13.8.2026 klo 14.28","Haapajärvi","keskitaso","viitesivu","210","Vanhus- ja vammaisneuvoston puhelinasiointi","https://www.haapajarvi.fi/palvelukanava/422cf99d-79d3-4711-9c8c-e489b636388d","https://www.haapajarvi.fi/","200","sisäinen haku","vanhus"
"13.8.2026 klo 14.28","Haapavesi","keskitaso","viitesivu","210","Vanhus- ja vammaisneuvosto","https://haapavesi.fi/vanhus-ja-vammaisneuvosto","https://haapavesi.fi/","200","etusivu","vanhus"
"13.8.2026 klo 14.28","Hailuoto","keskitaso","viitesivu","210","Vanhus- ja vammaisneuvosto","https://hailuoto.fi/paatoksenteko/vanhus-ja-vammaisneuvosto/","https://hailuoto.fi/","200","etusivu","vanhus"
"13.8.2026 klo 14.28","Hailuoto","keskitaso","viitesivu","210","vanhus Haun tulokset","https://hailuoto.fi/?s=vanhus","https://hailuoto.fi/","200","sisäinen haku","vanhus"
"13.8.2026 klo 14.28","Hailuoto","keskitaso","viitesivu","210","Vanhus- ja vammaisneuvoston toimintasuunnitelma 2026","https://hailuoto.fi/download/vanhus-ja-vammaisneuvoston-toimintasuunnitelma-2026/","https://hailuoto.fi/","200","sisäinen haku","vanhus"
"13.8.2026 klo 14.28","Hailuoto","keskitaso","viitesivu","210","Vanhus- ja vammaisneuvoston toimintakertomus syksy 2025","https://hailuoto.fi/download/vanhus-ja-vammaisneuvoston-toimintakertomus-syksy-2025/","https://hailuoto.fi/","200","sisäinen haku","vanhus"
"13.8.2026 klo 14.28","Hailuoto","keskitaso","viitesivu","210","Vanhus- ja vammaisneuvoston toimintakertomus kevät 2025","https://hailuoto.fi/download/vanhus-ja-vammaisneuvoston-toimintakertomus-kevat-2025/","https://hailuoto.fi/","200","sisäinen haku","vanhus"
"13.8.2026 klo 14.28","Halsua","keskitaso","viitesivu","210","HALSUAN KUNTA","https://halsua.fi/?s=vanhus","https://halsua.fi/","200","sisäinen haku","vanhus"
"13.8.2026 klo 14.28","Hankasalmi","korkea","palvelusivu","370","Tuolijumppa Seniorituvalla","https://hankasalmi.fi/sarjat/tuolijumppa-seniorituvalla/","https://hankasalmi.fi/","200","sivukartta","seniorit"
"13.8.2026 klo 14.28","Hanko","korkea","palvelusivu","850","Tjänster för äldre","https://hanko.fi/sv/halsa-och-valmaende/tjanster-for-aldre/","https://hanko.fi/","200","sivukartta","för äldre; for aldre; äldre; aldre"
"13.8.2026 klo 14.28","Hanko","keskitaso","viitesivu","670","Äldrerådet","https://hanko.fi/sv/halsa-och-valmaende/tjanster-for-aldre/aldreradet/","https://hanko.fi/","200","sivukartta","for aldre; äldre; aldre; äldreomsorg; seniorer; för äldre; pensionärer; pensionär"
"13.8.2026 klo 14.28","Hanko","keskitaso","viitesivu","570","Årsplaner och årsberättelser","https://hanko.fi/sv/halsa-och-valmaende/tjanster-for-aldre/aldreradet/arsplan-arsberattelse/","https://hanko.fi/","200","sivukartta","for aldre; aldre; för äldre; äldre"
"13.8.2026 klo 14.28","Hanko","keskitaso","viitesivu","570","Protokoll","https://hanko.fi/sv/halsa-och-valmaende/tjanster-for-aldre/aldreradet/protokoll/","https://hanko.fi/","200","sivukartta","for aldre; aldre; för äldre; äldre"
"13.8.2026 klo 14.28","Hanko","keskitaso","viitesivu","425","Pensionärsföreningar","https://hanko.fi/sv/pensionarsforeningar/","https://hanko.fi/","200","sivukartta","pensionär; pensionar; eläkeläiset; för äldre; äldre; pensionärer"
"13.8.2026 klo 14.28","Harjavalta","korkea","palvelusivu","600","Digitaitoja ikäihmisille","https://www.harjavalta.fi/digitaitoja-ikaihmisille/","https://www.harjavalta.fi/","200","sivukartta","ikäihmisille; ikaihmisille; vanhus"
"13.8.2026 klo 14.28","Harjavalta","keskitaso","viitesivu","600","Joulupostia ikäihmisille -kampanja keräsi 362 joulukorttia Harjavallassa","https://www.harjavalta.fi/joulupostia-ikaihmisille-kampanja-kerasi-362-joulukorttia-harjavallassa/","https://www.harjavalta.fi/","200","sivukartta","ikäihmisille; ikaihmisille; ikääntyneille; vanhus"
