"Päivitetty","Kunta","Varmuus","Pisteet","Nimi","URL","Kunnan sivu","HTTP","Löytötapa","Osumat"
"13.8.2026 klo 12.26","Akaa","korkea","415","Ikäihmiset","https://akaa.fi/terveys/hyvinvointia-elintavoilla/hyvinvointia-muuhun-arkeen/ikaihmiset/","https://akaa.fi/","200","polku","ikäihmiset; ikaihmiset; seniorit"
"13.8.2026 klo 12.26","Alajärvi","ei löytynyt","0","","","https://alajarvi.fi/","200","",""
"13.8.2026 klo 12.26","Alavieska","ei löytynyt","0","","","https://www.alavieska.fi/","200","",""
"13.8.2026 klo 12.26","Alavus","ei löytynyt","45","Aikuisten ja ikäihmisten ohjattu liikunta","https://www.alavus.fi/fi/vapaa-aika/liikunta/ohjattu-liikunta/aikuiset-ja-ikaihmiset.html","https://www.alavus.fi/","200","etusivu","ikaihmiset; ikäihmisten palvelut; ikäihmiset"
"13.8.2026 klo 12.26","Asikkala","korkea","405","Senioripalvelut","https://asikkala.fi/terveys-ja-hyvinvointi/senioripalvelut/","https://asikkala.fi/","200","polku","senioripalvelut; seniorit"
"13.8.2026 klo 12.26","Askola","ei löytynyt","0","","","https://askola.fi/","200","",""
"13.8.2026 klo 12.26","Aura","ei löytynyt","0","","","https://aura.fi/","200","",""
"13.8.2026 klo 12.26","Brändö","korkea","760","Äldreomsorg","https://www.brando.ax/vard-och-omsorg/aldreomsorg/","https://www.brando.ax/","200","etusivu","äldreomsorg; aldreomsorg; för äldre"
"13.8.2026 klo 12.26","Eckerö","korkea","715","Äldreomsorg","https://www.eckero.ax/socialservice/aldreomsorg","https://www.eckero.ax/","200","etusivu","äldreomsorg; aldreomsorg; för äldre"
"13.8.2026 klo 12.26","Enonkoski","ei löytynyt","0","","","https://enonkoski.fi/","200","",""
"13.8.2026 klo 12.26","Enontekiö","ei löytynyt","0","","","https://enontekio.fi/","200","",""
"13.8.2026 klo 12.26","Espoo","korkea","285","Seniorit","https://www.espoo.fi/fi/seniorit","https://www.espoo.fi","200","polku","seniorit"
"13.8.2026 klo 12.26","Eura","korkea","320","Ikäihmiset","https://www.eura.fi/ikaihmiset/","https://www.eura.fi/","200","polku","ikäihmiset; ikaihmiset; seniorineuvonta"
"13.8.2026 klo 12.26","Eurajoki","ei löytynyt","0","","","https://www.eurajoki.fi/","403","",""
"13.8.2026 klo 12.26","Evijärvi","ei löytynyt","0","","","https://evijarvi.fi/","200","",""
"13.8.2026 klo 12.26","Finström","ei löytynyt","0","","","https://www.finstrom.ax/","200","",""
"13.8.2026 klo 12.26","Forssa","ei löytynyt","0","","","https://www.forssa.fi/","200","",""
"13.8.2026 klo 12.26","Föglö","korkea","575","Äldreomsorg","https://www.foglo.ax/social-service/aldreomsorg","https://www.foglo.ax/","200","etusivu","äldreomsorg; aldreomsorg"
"13.8.2026 klo 12.26","Geta","korkea","575","Äldreomsorg","https://www.geta.ax/kommunverksamhet/aldreomsorg","https://www.geta.ax/","200","etusivu","äldreomsorg; aldreomsorg"
"13.8.2026 klo 12.26","Haapajärvi","ei löytynyt","0","","","https://www.haapajarvi.fi/","200","",""
"13.8.2026 klo 12.26","Haapavesi","ei löytynyt","0","","","https://haapavesi.fi/","200","",""
"13.8.2026 klo 12.26","Hailuoto","ei löytynyt","0","","","https://hailuoto.fi/","200","",""
"13.8.2026 klo 12.26","Halsua","ei löytynyt","0","","","https://halsua.fi/","200","",""
"13.8.2026 klo 12.26","Hamina","korkea","405","Ikääntyneiden palvelut","https://www.hamina.fi/hyvinvointi-vapaa-aika/iakkaat-asukkaat/ikaantyneiden-palvelut/kymenlaakson-hyvinvointialue/","https://www.hamina.fi/","200","sivukartta","ikaantyneiden palvelut; ikääntyneiden palvelut; ikääntyneet"
"13.8.2026 klo 12.26","Hammarland","korkea","760","Äldreomsorg","https://www.hammarland.ax/individ-familj/aldreomsorg","https://www.hammarland.ax/","200","etusivu","äldreomsorg; aldreomsorg; för äldre"
"13.8.2026 klo 12.26","Hankasalmi","ei löytynyt","0","","","https://hankasalmi.fi/","200","",""
"13.8.2026 klo 12.26","Hanko","ei löytynyt","0","","","https://hanko.fi/","200","",""
"13.8.2026 klo 12.26","Harjavalta","ei löytynyt","0","","","https://www.harjavalta.fi/","200","",""
"13.8.2026 klo 12.26","Hartola","ei löytynyt","0","","","https://hartola.fi/","200","",""
"13.8.2026 klo 12.26","Hattula","ei löytynyt","0","","","https://hattula.fi/","200","",""
"13.8.2026 klo 12.26","Hausjärvi","ei löytynyt","0","","","https://www.hausjarvi.fi/","500","",""
"13.8.2026 klo 12.26","Heinola","ei löytynyt","0","","","https://www.heinola.fi/","200","",""
"13.8.2026 klo 12.26","Heinävesi","ei löytynyt","0","","","https://www.heinavesi.fi/","200","",""
"13.8.2026 klo 12.26","Helsinki","korkea","175","Senioripalvelut","https://www.hel.fi/fi/sosiaali-ja-terveyspalvelut/senioripalvelut","https://hel.fi","200","polku","senioripalvelut"
"13.8.2026 klo 12.26","Hirvensalmi","ei löytynyt","0","","","https://www.hirvensalmi.fi/","200","",""
"13.8.2026 klo 12.26","Hollola","ei löytynyt","0","","","https://hollola.fi/","200","",""
"13.8.2026 klo 12.26","Huittinen","ei löytynyt","0","","","https://www.huittinen.fi/","200","",""
"13.8.2026 klo 12.26","Humppila","ei löytynyt","0","","","https://www.humppila.fi/","200","",""
"13.8.2026 klo 12.26","Hyrynsalmi","ei löytynyt","0","","","https://www.hyrynsalmi.fi/","200","",""
"13.8.2026 klo 12.26","Hyvinkää","korkea","445","Ikääntyneiden palvelut","https://www.hyvinkaa.fi/hyvinvointi/ikaantyneiden-palvelut/","https://www.hyvinkaa.fi/","200","etusivu","ikaantyneiden palvelut; ikääntyneiden palvelut"
"13.8.2026 klo 12.26","Hämeenkyrö","ei löytynyt","0","","","https://hameenkyro.fi/","200","",""
"13.8.2026 klo 12.26","Hämeenlinna","ei löytynyt","0","","","https://www.hameenlinna.fi/","200","",""
"13.8.2026 klo 12.26","Ii","korkea","500","Ikäihmiset","https://www.ii.fi/ikaihmiset","https://www.ii.fi/","200","polku","ikäihmiset; ikaihmiset; ikäihmisten palvelut"
"13.8.2026 klo 12.26","Iisalmi","ei löytynyt","0","","","https://www.iisalmi.fi/","200","",""
"13.8.2026 klo 12.26","Iitti","ei löytynyt","0","","","https://www.iitti.fi/","200","",""
"13.8.2026 klo 12.26","Ikaalinen","ei löytynyt","0","","","https://ikaalinen.fi/","200","",""
"13.8.2026 klo 12.26","Ilmajoki","ei löytynyt","0","","","https://ilmajoki.fi/","200","",""
"13.8.2026 klo 12.26","Ilomantsi","ei löytynyt","0","","","https://www.ilomantsi.fi/","200","",""
"13.8.2026 klo 12.26","Imatra","ei löytynyt","0","","","https://www.imatra.fi/","200","",""
"13.8.2026 klo 12.26","Inari","ei löytynyt","0","","","https://www.inari.fi/","200","",""
