"Prioriteetti","Toimenpide","Peruste","Lähdetiedosto","Nimi sovelluksessa","Nykyinen URL","Ehdotettu URL","HTTP","Virhekoodi"
"1","POISTA HETI","Osoite ohjaa verkkotunnusten kauppapaikkaan","communityLinks.ts","Eläkeläisliittojen etujärjestö EETU ry","https://www.eetu.fi/","https://sedo.com/search/details/?partnerid=324561&language=fi&domain=eetu.fi&origin=sales_lander_15&utm_medium=Parking&utm_campaign=offerpage","403","access_limited"
"1","POISTA HETI","Osoite ohjaa verkkotunnusten kauppapaikkaan","communityLinks.ts","Suomen PAH-potilasyhdistys","https://www.pah.fi/","https://catcha.fi/verkkotunnukset/pah.fi","206",""
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","communityLinks.ts","AH-potilaat","https://www.ah-potilaat.fi/","","","enotfound"
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","communityLinks.ts","Aivolisäke-potilasyhdistys Sella","https://www.aivolisake.fi/","","","enotfound"
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","communityLinks.ts","Suomen Akustikusneurinoomayhdistys","https://www.akustikusneurinooma.fi/","","","enotfound"
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","communityLinks.ts","Suomen albinismiyhdistys","https://www.albinismi.fi/","","","enotfound"
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","communityLinks.ts","Etelä-Suomen Alopecia- ja Vitiligoyhdistys","https://www.alopecia.fi/","","","enotfound"
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","communityLinks.ts","Pohjois-Suomen Alopecia- ja Vitiligoyhdistys","https://www.alopecia.fi/pohjois-suomi","","","enotfound"
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","communityLinks.ts","ALS-tutkimuksen tuki","https://www.als-tutkimus.fi/","","","enotfound"
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","communityLinks.ts","Suomen Amyloidoosiyhdistys","https://www.amyloidoosi.fi/","","","enotfound"
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","communityLinks.ts","Autistien ja Rett-henkilöiden Tuki ry","https://www.autistienettutuki.fi/","","","enotfound"
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","communityLinks.ts","Suomen CF-yhdistys","https://www.cf-yhdistys.fi/","","","enotfound"
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","communityLinks.ts","Suomen Chiari- ja syringomyeliayhdistys","https://www.chiari.fi/","","","enotfound"
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","communityLinks.ts","Suomen Dystoniayhdistys","https://www.dystonia.fi/","","","enotfound"
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","communityLinks.ts","Suomen EB-yhdistys","https://www.eb-yhdistys.fi/","","","enotfound"
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","communityLinks.ts","Erityislasten Omaiset ELO","https://www.elory.fi/","","","enotfound"
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","communityLinks.ts","Suomen Fabry-yhdistys","https://www.fabry.fi/","","","enotfound"
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","communityLinks.ts","Frax","https://www.frax.fi/","","","enotfound"
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","communityLinks.ts","FSHD-yhdistys","https://www.fshd.fi/","","","enotfound"
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","communityLinks.ts","GNAO1 Tuki","https://www.gnao1tuki.fi/","","","enotfound"
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","communityLinks.ts","Suomen HHT/Osler-yhdistys","https://www.hhtosler.fi/","","","enotfound"
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","communityLinks.ts","Ihoyhdistys","https://www.ihoyhdistys.fi/","","","enotfound"
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","communityLinks.ts","ITP Suomi","https://www.itpsuomi.fi/","","","eai_again"
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","communityLinks.ts","Suomen Kampurajalkayhdistys","https://www.kampurajalkayhdistys.fi/","","","enotfound"
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","communityLinks.ts","Karpatiat","https://www.karpatiat.fi/","","","enotfound"
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","communityLinks.ts","Marfan ja sen kaltaiset sairaudet ry","https://www.marfanyhdistys.fi/","","","enotfound"
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","communityLinks.ts","Suomen MG-yhdistys","https://www.mg-yhdistys.fi/","","","enotfound"
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","communityLinks.ts","Mitokondrioyhdistys","https://www.mitokondrioyhdistys.fi/","","","enotfound"
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","communityLinks.ts","Suomen NF-yhdistys","https://www.nf-yhdistys.fi/","","","enotfound"
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","communityLinks.ts","OUKALI ry","https://www.oukali.fi/","","","enotfound"
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","communityLinks.ts","Suomen Palovammayhdistys","https://www.palovammayhdistys.fi/","","","enotfound"
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","communityLinks.ts","Suomen PANS/PANDAS","https://www.panspandas.fi/","","","enotfound"
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","communityLinks.ts","Pohjanmaan museo","https://www.pohjanmaanmuseo.fi/","","","enotfound"
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","communityLinks.ts","Suomen PWS-yhdistys","https://www.pws.fi/","","","enotfound"
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","communityLinks.ts","Suomen mediamuseo Rupriikki","https://www.rupriikki.fi/","","","enotfound"
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","communityLinks.ts","Satakunnan museo","https://www.satakuntamuseo.fi/","","","enotfound"
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","communityLinks.ts","Suomen Sklerodermayhdistys","https://www.skleroderma.fi/","","","enotfound"
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","communityLinks.ts","Suomen Sotos-perheiden tukiyhdistys","https://www.sotos.fi/","","","enotfound"
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","communityLinks.ts","SUHUPO","https://www.suhupo.fi/","","","enotfound"
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","communityLinks.ts","Valoihottumayhdistys","https://www.valoihottuma.fi/","","","enotfound"
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","communityLinks.ts","Suomen Vaskuliittiyhdistys","https://www.vaskuliitti.fi/","","","enotfound"
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","communityLinks.ts","Waldenström Finland ry","https://www.waldenstrom.fi/","","","enotfound"
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","localServices.ts","www.lansi-uusimaa.fi","https://www.lansi-uusimaa.fi/","","","enotfound"
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","municipalityNewsFeeds.ts","www.vimpeli.fi","https://www.vimpeli.fi/rss.xml","","","enotfound"
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","municipalityWebsites.ts","www.vimpeli.fi","https://www.vimpeli.fi/","","","enotfound"
"2","poista","Verkkotunnus ei enää ratkea — vapautunut ja ostettavissa","seniorSurfGuidancePlaces.ts","www.fredrikabiblioteken.fi","https://www.fredrikabiblioteken.fi/fi/library-page/kruunupyyn-p%C3%A4%C3%A4kirjasto","","","enotfound"
