"Tarkistettu","Seuraava tarkistus","Kriittinen numero","Kategoria","Nimi","Näkyvä numero","tel-linkki","Lähde-URL","Lopullinen lähde-URL","Lähdedomain","Lähdetyyppi","Muototarkistus","Lähdetarkistus","Kokonaistila","Lähdetiedosto","Huomiot"
"2026-08-25","2026-12-01","kyllä","Kela-taksi","Kela-taksi ruotsiksi: Keskustaksi Oy","0800 924 46","tel:080092446","https://www.kela.fi/taksimatkat#tilausnumerot-maakunnittain","https://www.kela.fi/taksimatkat","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","localKelaTaxiNumbers.ts","Tarkista tiedot uudelleen ennen 1.1.2027"
"2026-08-25","2026-12-01","kyllä","Kela-taksi","Kela-taksi ruotsiksi: Menevä Oy","0800 021 82","tel:080002182","https://www.kela.fi/taksimatkat#tilausnumerot-maakunnittain","https://www.kela.fi/taksimatkat","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","localKelaTaxiNumbers.ts","Tarkista tiedot uudelleen ennen 1.1.2027"
"2026-08-25","2026-12-01","kyllä","Kela-taksi","Kela-taksi ruotsiksi: Pohjois-Suomen Taksi Oy","0800 933 11","tel:080093311","https://www.kela.fi/taksimatkat#tilausnumerot-maakunnittain","https://www.kela.fi/taksimatkat","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","localKelaTaxiNumbers.ts","Tarkista tiedot uudelleen ennen 1.1.2027"
"2026-08-25","2026-12-01","kyllä","Kela-taksi","Kela-taksi ruotsiksi: Suomen Lähilogistiikka Oy","0800 051 51","tel:080005151","https://www.kela.fi/taksimatkat#tilausnumerot-maakunnittain","https://www.kela.fi/taksimatkat","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","localKelaTaxiNumbers.ts","Tarkista tiedot uudelleen ennen 1.1.2027"
"2026-08-25","2026-12-01","kyllä","Kela-taksi","Kela-taksi ruotsiksi: Taksi Helsinki Oy","0800 414 601","tel:0800414601","https://www.kela.fi/taksimatkat#tilausnumerot-maakunnittain","https://www.kela.fi/taksimatkat","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","localKelaTaxiNumbers.ts","Tarkista tiedot uudelleen ennen 1.1.2027"
"2026-08-25","2026-12-01","kyllä","Kela-taksi","Kela-taksi ruotsiksi: Taksi Helsinki Oy","0800 414 604","tel:0800414604","https://www.kela.fi/taksimatkat#tilausnumerot-maakunnittain","https://www.kela.fi/taksimatkat","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","localKelaTaxiNumbers.ts","Tarkista tiedot uudelleen ennen 1.1.2027"
"2026-08-25","2026-12-01","kyllä","Kela-taksi","Kela-taksi ruotsiksi: Tampereen Aluetaksi Oy","0800 415 730","tel:0800415730","https://www.kela.fi/taksimatkat#tilausnumerot-maakunnittain","https://www.kela.fi/taksimatkat","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","localKelaTaxiNumbers.ts","Tarkista tiedot uudelleen ennen 1.1.2027"
"2026-08-25","2026-12-01","kyllä","Kela-taksi","Kela-taksi ruotsiksi: Vaasan Ulataksi Oy","0800 500 600","tel:0800500600","https://www.kela.fi/taksimatkat#tilausnumerot-maakunnittain","https://www.kela.fi/taksimatkat","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","localKelaTaxiNumbers.ts","Tarkista tiedot uudelleen ennen 1.1.2027"
"2026-08-25","2026-12-01","kyllä","Kela-taksi","Kela-taksi: DRide Oy","0800 101 010","tel:0800101010","https://www.kela.fi/taksimatkat#tilausnumerot-maakunnittain","https://www.kela.fi/taksimatkat","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","localKelaTaxiNumbers.ts","Tarkista tiedot uudelleen ennen 1.1.2027"
"2026-08-25","2026-12-01","kyllä","Kela-taksi","Kela-taksi: DRide Oy","0800 415 700","tel:0800415700","https://www.kela.fi/taksimatkat#tilausnumerot-maakunnittain","https://www.kela.fi/taksimatkat","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","localKelaTaxiNumbers.ts","Tarkista tiedot uudelleen ennen 1.1.2027"
"2026-08-25","2026-12-01","kyllä","Kela-taksi","Kela-taksi: DRide Oy","0800 415 750","tel:0800415750","https://www.kela.fi/taksimatkat#tilausnumerot-maakunnittain","https://www.kela.fi/taksimatkat","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","localKelaTaxiNumbers.ts","Tarkista tiedot uudelleen ennen 1.1.2027"
"2026-08-25","2026-12-01","kyllä","Kela-taksi","Kela-taksi: Joensuun Taksi Oy","0800 102 000","tel:0800102000","https://www.kela.fi/taksimatkat#tilausnumerot-maakunnittain","https://www.kela.fi/taksimatkat","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","localKelaTaxiNumbers.ts","Tarkista tiedot uudelleen ennen 1.1.2027"
"2026-08-25","2026-12-01","kyllä","Kela-taksi","Kela-taksi: Kainuun Taksivälitys Oy","0800 933 99","tel:080093399","https://www.kela.fi/taksimatkat#tilausnumerot-maakunnittain","https://www.kela.fi/taksimatkat","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","localKelaTaxiNumbers.ts","Tarkista tiedot uudelleen ennen 1.1.2027"
"2026-08-25","2026-12-01","kyllä","Kela-taksi","Kela-taksi: Keskustaksi Oy","0800 924 40","tel:080092440","https://www.kela.fi/taksimatkat#tilausnumerot-maakunnittain","https://www.kela.fi/taksimatkat","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","localKelaTaxiNumbers.ts","Tarkista tiedot uudelleen ennen 1.1.2027"
"2026-08-25","2026-12-01","kyllä","Kela-taksi","Kela-taksi: Keskustaksi Oy","0800 924 42","tel:080092442","https://www.kela.fi/taksimatkat#tilausnumerot-maakunnittain","https://www.kela.fi/taksimatkat","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","localKelaTaxiNumbers.ts","Tarkista tiedot uudelleen ennen 1.1.2027"
"2026-08-25","2026-12-01","kyllä","Kela-taksi","Kela-taksi: Keskustaksi Oy","0800 924 44","tel:080092444","https://www.kela.fi/taksimatkat#tilausnumerot-maakunnittain","https://www.kela.fi/taksimatkat","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","localKelaTaxiNumbers.ts","Tarkista tiedot uudelleen ennen 1.1.2027"
"2026-08-25","2026-12-01","kyllä","Kela-taksi","Kela-taksi: Lahden Aluetaksi Oy","0800 301 23","tel:080030123","https://www.kela.fi/taksimatkat#tilausnumerot-maakunnittain","https://www.kela.fi/taksimatkat","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","localKelaTaxiNumbers.ts","Tarkista tiedot uudelleen ennen 1.1.2027"
"2026-08-25","2026-12-01","kyllä","Kela-taksi","Kela-taksi: Menevä Oy","0800 021 80","tel:080002180","https://www.kela.fi/taksimatkat#tilausnumerot-maakunnittain","https://www.kela.fi/taksimatkat","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","localKelaTaxiNumbers.ts","Tarkista tiedot uudelleen ennen 1.1.2027"
"2026-08-25","2026-12-01","kyllä","Kela-taksi","Kela-taksi: Menevä Oy","0800 021 83","tel:080002183","https://www.kela.fi/taksimatkat#tilausnumerot-maakunnittain","https://www.kela.fi/taksimatkat","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","localKelaTaxiNumbers.ts","Tarkista tiedot uudelleen ennen 1.1.2027"
"2026-08-25","2026-12-01","kyllä","Kela-taksi","Kela-taksi: Menevä Oy","0800 021 85","tel:080002185","https://www.kela.fi/taksimatkat#tilausnumerot-maakunnittain","https://www.kela.fi/taksimatkat","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","localKelaTaxiNumbers.ts","Tarkista tiedot uudelleen ennen 1.1.2027"
"2026-08-25","2026-12-01","kyllä","Kela-taksi","Kela-taksi: Menevä Oy","0800 021 89","tel:080002189","https://www.kela.fi/taksimatkat#tilausnumerot-maakunnittain","https://www.kela.fi/taksimatkat","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","localKelaTaxiNumbers.ts","Tarkista tiedot uudelleen ennen 1.1.2027"
"2026-08-25","2026-12-01","kyllä","Kela-taksi","Kela-taksi: Pohjois-Suomen Taksi Oy","0800 933 77","tel:080093377","https://www.kela.fi/taksimatkat#tilausnumerot-maakunnittain","https://www.kela.fi/taksimatkat","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","localKelaTaxiNumbers.ts","Tarkista tiedot uudelleen ennen 1.1.2027"
"2026-08-25","2026-12-01","kyllä","Kela-taksi","Kela-taksi: Suomen Lähilogistiikka Oy","0800 051 50","tel:080005150","https://www.kela.fi/taksimatkat#tilausnumerot-maakunnittain","https://www.kela.fi/taksimatkat","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","localKelaTaxiNumbers.ts","Tarkista tiedot uudelleen ennen 1.1.2027"
"2026-08-25","2026-12-01","kyllä","Kela-taksi","Kela-taksi: Suomen Lähilogistiikka Oy","0800 051 54","tel:080005154","https://www.kela.fi/taksimatkat#tilausnumerot-maakunnittain","https://www.kela.fi/taksimatkat","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","localKelaTaxiNumbers.ts","Tarkista tiedot uudelleen ennen 1.1.2027"
"2026-08-25","2026-12-01","kyllä","Kela-taksi","Kela-taksi: Suomen Lähilogistiikka Oy","0800 051 57","tel:080005157","https://www.kela.fi/taksimatkat#tilausnumerot-maakunnittain","https://www.kela.fi/taksimatkat","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","localKelaTaxiNumbers.ts","Tarkista tiedot uudelleen ennen 1.1.2027"
"2026-08-25","2026-12-01","kyllä","Kela-taksi","Kela-taksi: Suomen Lähilogistiikka Oy","0800 051 60","tel:080005160","https://www.kela.fi/taksimatkat#tilausnumerot-maakunnittain","https://www.kela.fi/taksimatkat","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","localKelaTaxiNumbers.ts","Tarkista tiedot uudelleen ennen 1.1.2027"
"2026-08-25","2026-12-01","kyllä","Kela-taksi","Kela-taksi: Suomen Lähilogistiikka Oy","0800 051 63","tel:080005163","https://www.kela.fi/taksimatkat#tilausnumerot-maakunnittain","https://www.kela.fi/taksimatkat","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","localKelaTaxiNumbers.ts","Tarkista tiedot uudelleen ennen 1.1.2027"
"2026-08-25","2026-12-01","kyllä","Kela-taksi","Kela-taksi: Taksi Helsinki Oy","0800 414 600","tel:0800414600","https://www.kela.fi/taksimatkat#tilausnumerot-maakunnittain","https://www.kela.fi/taksimatkat","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","localKelaTaxiNumbers.ts","Tarkista tiedot uudelleen ennen 1.1.2027"
"2026-08-25","2026-12-01","kyllä","Kela-taksi","Kela-taksi: Taksi Helsinki Oy","0800 414 603","tel:0800414603","https://www.kela.fi/taksimatkat#tilausnumerot-maakunnittain","https://www.kela.fi/taksimatkat","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","localKelaTaxiNumbers.ts","Tarkista tiedot uudelleen ennen 1.1.2027"
"2026-08-25","2026-12-01","kyllä","Kela-taksi","Kela-taksi: Taksi Helsinki Oy","0800 414 606","tel:0800414606","https://www.kela.fi/taksimatkat#tilausnumerot-maakunnittain","https://www.kela.fi/taksimatkat","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","localKelaTaxiNumbers.ts","Tarkista tiedot uudelleen ennen 1.1.2027"
"2026-08-25","2026-12-01","kyllä","Kela-taksi","Kela-taksi: Taksi Helsinki Oy","0800 414 608","tel:0800414608","https://www.kela.fi/taksimatkat#tilausnumerot-maakunnittain","https://www.kela.fi/taksimatkat","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","localKelaTaxiNumbers.ts","Tarkista tiedot uudelleen ennen 1.1.2027"
"2026-08-25","2026-12-01","kyllä","Kela-taksi","Kela-taksi: Taksi Helsinki Oy","0800 414 610","tel:0800414610","https://www.kela.fi/taksimatkat#tilausnumerot-maakunnittain","https://www.kela.fi/taksimatkat","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","localKelaTaxiNumbers.ts","Tarkista tiedot uudelleen ennen 1.1.2027"
"2026-08-25","2026-12-01","kyllä","Kela-taksi","Kela-taksi: Taksi Helsinki Oy","0800 414 612","tel:0800414612","https://www.kela.fi/taksimatkat#tilausnumerot-maakunnittain","https://www.kela.fi/taksimatkat","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","localKelaTaxiNumbers.ts","Tarkista tiedot uudelleen ennen 1.1.2027"
"2026-08-25","2026-12-01","kyllä","Kela-taksi","Kela-taksi: Taksi Helsinki Oy","0800 414 614","tel:0800414614","https://www.kela.fi/taksimatkat#tilausnumerot-maakunnittain","https://www.kela.fi/taksimatkat","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","localKelaTaxiNumbers.ts","Tarkista tiedot uudelleen ennen 1.1.2027"
"2026-08-25","2026-12-01","kyllä","Kela-taksi","Kela-taksi: Taksi Helsinki Oy","0800 414 616","tel:0800414616","https://www.kela.fi/taksimatkat#tilausnumerot-maakunnittain","https://www.kela.fi/taksimatkat","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","localKelaTaxiNumbers.ts","Tarkista tiedot uudelleen ennen 1.1.2027"
"2026-08-25","2026-12-01","kyllä","Kela-taksi","Kela-taksi: Taksi Päijänne Oy","0800 021 87","tel:080002187","https://www.kela.fi/taksimatkat#tilausnumerot-maakunnittain","https://www.kela.fi/taksimatkat","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","localKelaTaxiNumbers.ts","Tarkista tiedot uudelleen ennen 1.1.2027"
"2026-08-25","2026-12-01","kyllä","Kela-taksi","Kela-taksi: Taksi Saimaa Oy","0800 555 123","tel:0800555123","https://www.kela.fi/taksimatkat#tilausnumerot-maakunnittain","https://www.kela.fi/taksimatkat","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","localKelaTaxiNumbers.ts","Tarkista tiedot uudelleen ennen 1.1.2027"
"2026-08-25","2026-12-01","kyllä","Kela-taksi","Kela-taksi: Tampereen Aluetaksi Oy","0800 306 600","tel:0800306600","https://www.kela.fi/taksimatkat#tilausnumerot-maakunnittain","https://www.kela.fi/taksimatkat","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","localKelaTaxiNumbers.ts","Tarkista tiedot uudelleen ennen 1.1.2027"
"2026-08-25","2026-12-01","kyllä","Kela-taksi","Kela-taksi: Tampereen Aluetaksi Oy","0800 415 710","tel:0800415710","https://www.kela.fi/taksimatkat#tilausnumerot-maakunnittain","https://www.kela.fi/taksimatkat","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","localKelaTaxiNumbers.ts","Tarkista tiedot uudelleen ennen 1.1.2027"
