"Päivitetty","Osio","Kategoria","Nimi","URL","Lähde","Tarkistus","HTTP","Turvallisuus","Lopullinen URL","Alkuperäinen domain","Lopullinen domain","Domain vaihtui","RDAP-signaali","Sisältösignaali","Sivun otsikko","Riskipisteet","Suositus","Manuaalinen tila","Luottamustaso","Huomiot"
"13.8.2026 klo 14.46","Alueelliset puhelinnumerot","Kela-taksi","Kela-taksi: Keskustaksi Oy","https://www.kela.fi/documents/20124/410312/Kela-taksin-tilausnumerot-kunnittain.pdf/dcccfb7a-4baa-edd4-64c8-0e4280360d38?t=1638453233868#kela-taksi-7","localKelaTaxiNumbers.ts","ok","200","ok","https://www.kela.fi/documents/20124/410312/Kela-taksin-tilausnumerot-kunnittain.pdf/dcccfb7a-4baa-edd4-64c8-0e4280360d38?t=1638453233868","kela.fi","kela.fi","ei","Elisa Oyj","huomio","","35","tarkista","","","Sisältötarkistus aikakatkaistiin; Sisältötarkistus vaatii huomiota"
"13.8.2026 klo 14.46","Alueelliset puhelinnumerot","Kela-taksi","Kela-taksi: Keskustaksi Oy","https://www.kela.fi/documents/20124/410312/Kela-taksin-tilausnumerot-kunnittain.pdf/dcccfb7a-4baa-edd4-64c8-0e4280360d38?t=1638453233868#kela-taksi-8","localKelaTaxiNumbers.ts","ok","200","ok","https://www.kela.fi/documents/20124/410312/Kela-taksin-tilausnumerot-kunnittain.pdf/dcccfb7a-4baa-edd4-64c8-0e4280360d38?t=1638453233868","kela.fi","kela.fi","ei","Elisa Oyj","huomio","","35","tarkista","","","Sisältötarkistus aikakatkaistiin; Sisältötarkistus vaatii huomiota"
"13.8.2026 klo 14.46","Alueelliset puhelinnumerot","Kela-taksi","Kela-taksi: Lahden Aluetaksi Oy","https://www.kela.fi/documents/20124/410312/Kela-taksin-tilausnumerot-kunnittain.pdf/dcccfb7a-4baa-edd4-64c8-0e4280360d38?t=1638453233868#kela-taksi-9","localKelaTaxiNumbers.ts","ok","200","ok","https://www.kela.fi/documents/20124/410312/Kela-taksin-tilausnumerot-kunnittain.pdf/dcccfb7a-4baa-edd4-64c8-0e4280360d38?t=1638453233868","kela.fi","kela.fi","ei","Elisa Oyj","huomio","","35","tarkista","","","Sisältötarkistus aikakatkaistiin; Sisältötarkistus vaatii huomiota"
"13.8.2026 klo 14.46","Alueelliset puhelinnumerot","Kela-taksi","Kela-taksi: Menevä Oy","https://www.kela.fi/documents/20124/410312/Kela-taksin-tilausnumerot-kunnittain.pdf/dcccfb7a-4baa-edd4-64c8-0e4280360d38?t=1638453233868#kela-taksi-12","localKelaTaxiNumbers.ts","ok","200","ok","https://www.kela.fi/documents/20124/410312/Kela-taksin-tilausnumerot-kunnittain.pdf/dcccfb7a-4baa-edd4-64c8-0e4280360d38?t=1638453233868","kela.fi","kela.fi","ei","Elisa Oyj","huomio","","35","tarkista","","","Sisältötarkistus aikakatkaistiin; Sisältötarkistus vaatii huomiota"
"13.8.2026 klo 14.46","Alueelliset puhelinnumerot","Kela-taksi","Kela-taksi: Menevä Oy","https://www.kela.fi/documents/20124/410312/Kela-taksin-tilausnumerot-kunnittain.pdf/dcccfb7a-4baa-edd4-64c8-0e4280360d38?t=1638453233868#kela-taksi-13","localKelaTaxiNumbers.ts","ok","200","ok","https://www.kela.fi/documents/20124/410312/Kela-taksin-tilausnumerot-kunnittain.pdf/dcccfb7a-4baa-edd4-64c8-0e4280360d38?t=1638453233868","kela.fi","kela.fi","ei","Elisa Oyj","huomio","","35","tarkista","","","Sisältötarkistus aikakatkaistiin; Sisältötarkistus vaatii huomiota"
"13.8.2026 klo 14.46","Alueelliset puhelinnumerot","Kela-taksi","Kela-taksi: Pohjois-Suomen Taksi Oy","https://www.kela.fi/documents/20124/410312/Kela-taksin-tilausnumerot-kunnittain.pdf/dcccfb7a-4baa-edd4-64c8-0e4280360d38?t=1638453233868#kela-taksi-14","localKelaTaxiNumbers.ts","ok","200","ok","https://www.kela.fi/documents/20124/410312/Kela-taksin-tilausnumerot-kunnittain.pdf/dcccfb7a-4baa-edd4-64c8-0e4280360d38?t=1638453233868","kela.fi","kela.fi","ei","Elisa Oyj","huomio","","35","tarkista","","","Sisältötarkistus aikakatkaistiin; Sisältötarkistus vaatii huomiota"
"13.8.2026 klo 14.46","Alueelliset puhelinnumerot","Kela-taksi","Kela-taksi: Suomen Lähilogistiikka Oy","https://www.kela.fi/documents/20124/410312/Kela-taksin-tilausnumerot-kunnittain.pdf/dcccfb7a-4baa-edd4-64c8-0e4280360d38?t=1638453233868#kela-taksi-15","localKelaTaxiNumbers.ts","ok","200","ok","https://www.kela.fi/documents/20124/410312/Kela-taksin-tilausnumerot-kunnittain.pdf/dcccfb7a-4baa-edd4-64c8-0e4280360d38?t=1638453233868","kela.fi","kela.fi","ei","Elisa Oyj","huomio","","35","tarkista","","","Sisältötarkistus aikakatkaistiin; Sisältötarkistus vaatii huomiota"
"13.8.2026 klo 14.46","Alueelliset puhelinnumerot","Kela-taksi","Kela-taksi: Suomen Lähilogistiikka Oy","https://www.kela.fi/documents/20124/410312/Kela-taksin-tilausnumerot-kunnittain.pdf/dcccfb7a-4baa-edd4-64c8-0e4280360d38?t=1638453233868#kela-taksi-16","localKelaTaxiNumbers.ts","ok","200","ok","https://www.kela.fi/documents/20124/410312/Kela-taksin-tilausnumerot-kunnittain.pdf/dcccfb7a-4baa-edd4-64c8-0e4280360d38?t=1638453233868","kela.fi","kela.fi","ei","Elisa Oyj","huomio","","35","tarkista","","","Sisältötarkistus aikakatkaistiin; Sisältötarkistus vaatii huomiota"
"13.8.2026 klo 14.46","Alueelliset puhelinnumerot","Kela-taksi","Kela-taksi: Suomen Lähilogistiikka Oy","https://www.kela.fi/documents/20124/410312/Kela-taksin-tilausnumerot-kunnittain.pdf/dcccfb7a-4baa-edd4-64c8-0e4280360d38?t=1638453233868#kela-taksi-17","localKelaTaxiNumbers.ts","virhe","","ok","","kela.fi","kela.fi","ei","Elisa Oyj","ei tarkistettu","","80","piilota","","","Tarkistus aikakatkaistiin; HTTP-tarkistus epäonnistui"
"13.8.2026 klo 14.46","Alueelliset puhelinnumerot","Kela-taksi","Kela-taksi: Suomen Lähilogistiikka Oy","https://www.kela.fi/documents/20124/410312/Kela-taksin-tilausnumerot-kunnittain.pdf/dcccfb7a-4baa-edd4-64c8-0e4280360d38?t=1638453233868#kela-taksi-18","localKelaTaxiNumbers.ts","virhe","","ok","","kela.fi","kela.fi","ei","Elisa Oyj","ei tarkistettu","","80","piilota","","","Tarkistus aikakatkaistiin; HTTP-tarkistus epäonnistui"
